"name","count"
Raymond James Stadium,307
Hard Rock Stadium,298
Acrisure Stadium,295
Lincoln Financial Field,288
MetLife Stadium,275
Ford Field,222
Donald W. Reynolds Razorback Stadium,210
San Diego County Credit Union Stadium,206
Bank of America Stadium,204
Caesers Superdome,203
NRG Stadium,201
Gillette Stadium,200
TIAA Bank Field,199
Nissan Stadium,198
Lumen Field,195
AT&T Stadium,194
Arrowhead Stadium,191
Empower Field at Mile High,189
Paycor Stadium,187
M&T Bank Stadium,186
State Farm Stadium,186
Lambeau Field,186
Soldier Field,183
Highmark Stadium,180
FedEx Field,179
Cleveland Browns Stadium,173
Lucas Oil Stadium,172
Los Angeles Memorial Coliseum,153
Simmons Bank Liberty Stadium,145
Amon G. Carter Stadium,143
Tiger Stadium,142
Bryant–Denny Stadium,137
Memorial Stadium (Champaign),136
Oakland - Alameda County Coliseum,134
Protective Stadium,132
Huntington Bank Stadium,132
Darrell K Royal–Texas Memorial Stadium,131
Legion Field,129
Ben Hill Griffin Stadium,126
Jordan–Hare Stadium,126
Neyland Stadium,126
Frank Howard Field at Clemson Memorial Stadium,125
Notre Dame Stadium,125
Kroger Field,124
Kyle Field,123
War Memorial Stadium (Little Rock AR),123
Ohio Stadium,123
Williams-Brice Stadium,123
FBC Mortgage Stadium,122
Bobby Bowden Field at Doak S. Campbell Stadium,122
Faurot Field at Memorial Stadium,122
Georgia Dome,121
Mountain America Stadium,121
Camp Randall Stadium,119
Michigan Stadium,119
Beaver Stadium,119
Rose Bowl Stadium,119
Spartan Stadium,118
Levi's Stadium,118
Gaylord Family – Oklahoma Memorial Stadium,118
Vaught–Hemingway Stadium at Hollingsworth Field,118
Kinnick Stadium,117
Arizona Stadium,117
Sanford Stadium,117
Bill Snyder Family Football Stadium,117
Boone Pickens Stadium,117
Kenan Memorial Stadium,116
Davis Wade Stadium at Scott Field,115
The Dome at America's Center,115
Navy–Marine Corps Memorial Stadium,115
Cardinal Stadium,115
Alaska Airlines Field at Husky Stadium,115
Albertsons Stadium,115
Memorial Stadium (Lincoln),114
Carter-Finley Stadium,114
Jones AT&T Stadium,114
Lane Stadium,114
Autzen Stadium,112
Scott Stadium,112
Bobby Dodd Stadium at Historic Grant Field,112
Rice-Eccles Stadium,112
Ryan Field,112
Jack Trice Stadium,111
Alumni Stadium (Boston College),110
SHI Stadium,110
Ross–Ade Stadium,110
JMA Wireless Dome,110
Mountaineer Field at Milan Puskar Stadium,110
Alamodome,110
FirstBank Stadium,109
Brooks Field at Wallace Wade Stadium,109
Truist Field at Wake Forest,107
Joan C. Edwards Stadium,107
Falcon Stadium,106
Rice Stadium,106
SECU Stadium,106
LaVell Edwards Stadium,106
David Booth Kansas Memorial Stadium,105
Michie Stadium,105
Folsom Field,105
Nippert Stadium,105
War Memorial Stadium,105
Gerald J. Ford Stadium,105
Memorial Stadium (Indiana),104
Stanford Stadium,104
Reser Stadium,104
University Stadium,103
California Memorial Stadium,101
Glass Bowl,101
MM Roberts Stadium,101
Martin Stadium,101
Sun Bowl Stadium,100
Mackay Stadium,100
Peden Stadium,100
Mercedes-Benz Stadium,100
Bagwell Field at Dowdy–Ficklen Stadium,100
Maverik Stadium,100
H.A. Chapman Stadium,99
Brigham Field at Huskie Stadium (NIU),99
UB Stadium,98
Cajun Field,98
Valley Children's Stadium,98
CEFCU Stadium,97
Houchens Industries–L.T. Smith Stadium,97
Centennial Bank Stadium,97
Riccardo Silva Stadium,97
John O Quinn Field at TDECU Stadium,97
Veterans Memorial Stadium at Larry Blakeney Field,96
Pratt & Whitney Stadium,96
Joe Aillet Stadium,94
Doyt L. Perry Stadium,94
McLane Stadium,94
Scheumann Stadium,93
Kelly/Shorts Stadium,92
Aloha Stadium,91
Waldo Stadium,91
Floyd Stadium,90
Fred C. Yager Stadium,89
Rynearson Stadium,88
Aggie Memorial Stadium,88
Benson Field at Yulman Stadium,87
InfoCision Stadium–Summa Field,86
FAU Stadium,86
JPS Field at Malone Stadium,85
Dix Stadium,84
Sam Boyd Stadium,84
Giants Stadium,83
SoFi Stadium,83
US Bank Stadium,82
William H. Kibbie-A SUI Activity Center,82
Apogee Stadium,81
Candlestick Park,78
Canvas Stadium,76
Hubert H. Humphrey Metrodome,76
Allegiant Stadium,75
Center Parc Stadium,74
Bobcat Stadium (Texas State),72
Kidd Brewer Stadium,69
Ladd–Peebles Stadium,65
Warren McGuirk Alumni Stadium,63
Allen E. Paulson Stadium,60
Brooks Stadium,58
Kornblau Field at S.B. Ballard Stadium,57
Jerry Richardson Stadium,52
Dignity Health Sports Park,50
Arthur L. Williams Stadium,45
William B. Greene Jr. Stadium,40
Camping World Stadium,38
Delaware Stadium,37
Hancock Whitney Stadium,36
ASU Football Stadium,35
JSU Stadium,35
Tom Benson Hall of Fame Stadium,34
Texas Stadium,33
Hancock Stadium,33
Elliot T. Bowers Stadium,32
Roos Field,31
Estes Stadium,31
Mississippi Veterans Memorial Stadium,30
Fifth Third Bank Stadium,30
Fortera Stadium,30
Roy Kidd Stadium,30
Commonwealth Stadium,30
Eddie G. Robinson Memorial Stadium,29
Mustang Memorial Field,29
Gayle and Tom Benson Stadium,29
RCA Dome,28
Alumni Stadium (Delaware State),28
Christy Mathewson Memorial Stadium,28
Bob Ford Field at Tom & Mary Casey Stadium,28
Welcome Stadium,27
Buccaneer Field,27
Harvard Stadium,27
Spinks–Casem Stadium Stadium,27
Alfond Stadium,27
Johnson Hagood Stadium,27
Paladin Stadium,26
Wembley Stadium,26
Provost Umphrey Stadium,26
Rhodes Stadium,26
Daytona Stadium,25
Brown Stadium,25
Memorial Stadium (Indiana State),25
Ernest W. Spangler Stadium,25
Bragg Memorial Stadium,25
Armstrong Stadium,25
Bud and Jackie Sellick Bowl,25
O'Brien Field,25
Finley Stadium,24
Fitton Field,24
Drake Stadium,24
IG Field,24
Fisher Stadium,24
Simmons Bank Field,24
Richardson Stadium,24
Holt Arena,24
Audi Field,23
Coffey Field,23
Louis Crews Stadium,23
Percival Molson Memorial Stadium,23
Goodman Stadium,23
Crown Field at Andy Kerr Stadium,22
Robert K. Kraft Field at Lawrence A. Wien Stadium,22
Memorial Field (Dartmouth),22
Clarence T.C. Ching Athletics Complex,22
BC Place,22
BMO Field,22
Cooper Field,22
Schoellkopf Field,22
Tenney Stadium at Leonidoff Field,22
Arthur J. Rooney Athletic Field,22
Tim Hortons Field,21
Arute Field,21
Cotton Bowl Stadium,21
Mosaic Stadium,21
Beirne Stadium,21
McMahon Stadium,20
Choctaw Stadium,20
Bridgeforth Stadium,20
TD Place Stadium,20
Barker Lane Stadium,20
Dana J. Dykhouse Stadium,18
Fargodome,17
Anthony Field at Wildcat Stadium,17
Stewart Stadium,16
Manning Field at John L. Guidry Stadium,16
Cramton Bowl,16
Washington Grizzly Stadium,16
Villanova Stadium,15
Bobcat Stadium (Montana State),15
Snapdragon Stadium,14
DakotaDome,13
Spec Martin Municipal Stadium,13
O'Kelly-Riddick Stadium,13
Stambaugh Stadium,13
Strawberry Stadium,13
E. Claiborne Robins Stadium,13
Seibert Stadium,12
Jack Spinks Memorial Stadium,12
Johnny Unitas Stadium,12
Hughes Stadium,12
Torero Stadium,12
Yankee Stadium,12
Alerus Center,12
Yale Bowl,12
Wildcat Stadium (New Hampshire),12
Hornet Stadium (Sacramento CA),12
Zable Stadium at Carey Field,12
Toyota Stadium,11
UNI Dome,11
Memorial Stadium (Tarleton State),11
Homer Bryce Stadium,11
O'Shaughnessy Stadium,11
Alumni Memorial Field,11
Joe Walton Stadium,11
A.W. Mumford Stadium,11
Kessler Stadium,11
Saluki Stadium,11
Truist Stadium,11
Oliver C. Dawson Stadium,11
Ernest Hawkins Field at Memorial Stadium,11
Cowboy Stadium (McNeese State),11
Franklin Field,11
Five Star Stadium,11
Harlen C. Hunter Stadium,10
Panther Stadium at Blackshear Field,10
Independence Stadium,10
Hardy M. Graham Stadium,10
Meade Stadium,10
Gibbs Stadium,10
Hanson Field,10
Andy Kerr Stadium,10
Robert W. Plaster Stadium,10
Eccles Coliseum,10
Brown Field,10
Kenneth P. LaValle Stadium,10
Husky Stadium (Houston Baptist),10
Walkup Skydome,10
Duane Stadium,10
Hillsboro Stadium,10
Nottingham Field,10
Jayne Stadium,10
William Price Football Stadium,10
Harry Turpin Stadium,10
E.J. Whitmire Stadium,10
Bailey Memorial Stadium,10
Powers Field at Princeton Stadium,10
Campus Field,10
Tropicana Field,10
UC Davis Health Stadium,10
Tucker Stadium,10
Wagner College Stadium,9
Braly Municipal Stadium,9
Bethpage Federal Credit Union Stadium,9
Rice Totten Stadium,9
Shell Energy Stadium,9
Houck Stadium,9
Greater Zion Stadium,9
W. B. Mason Stadium,9
Chase Field,8
Thomas Robinson Stadium,8
William H. Greene Stadium,8
Globe Life Park,7
DeGol Field,7
Tottenham Hotspur Stadium,7
Cashman Field,6
Aloha Stadium,6
Rogers Stadium,6
Estadio Azteca,5
Fenway Park,5
Roy Stewart Stadium,5
BB&T Stadium,5
Marlins Park,4
Aviva Stadium,3
Exploria Stadium,3
Twickenham Stadium,3
Deutsche Bank Park,2
Mile High Stadium,2
Petco Park,2
Wrigley Field,2
Polar Park,2
Providence Park,1
Raymond Field,1
Wildcat Stadium (Indiana Wesleyan),1
Allianz Arena,1
Huskies Stadium,1
Robert B. Redman Stadium,1
Bristol Motor Speedway,1
Parker Field at McCool Stadium,1
ANZ Stadium,1
Croke Park,1
Foxboro Stadium,1
Hale Stadium,1
Target Field,1
Toyota Field,1
Red Bull Arena,1
Guaranteed Rate Field,1
