"id","name","season_id","no_of_games_played"
39,Acrisure Stadium,2005,8
39,Acrisure Stadium,2006,8
39,Acrisure Stadium,2007,9
39,Acrisure Stadium,2008,10
39,Acrisure Stadium,2009,8
39,Acrisure Stadium,2010,10
39,Acrisure Stadium,2011,16
39,Acrisure Stadium,2012,14
39,Acrisure Stadium,2013,18
39,Acrisure Stadium,2014,18
39,Acrisure Stadium,2015,16
39,Acrisure Stadium,2016,18
39,Acrisure Stadium,2017,18
39,Acrisure Stadium,2018,16
39,Acrisure Stadium,2019,17
39,Acrisure Stadium,2020,15
39,Acrisure Stadium,2021,17
39,Acrisure Stadium,2022,17
39,Acrisure Stadium,2023,16
68,Aggie Memorial Stadium,2011,6
68,Aggie Memorial Stadium,2012,6
68,Aggie Memorial Stadium,2013,7
68,Aggie Memorial Stadium,2014,6
68,Aggie Memorial Stadium,2015,5
68,Aggie Memorial Stadium,2016,5
68,Aggie Memorial Stadium,2017,5
68,Aggie Memorial Stadium,2018,5
68,Aggie Memorial Stadium,2019,5
68,Aggie Memorial Stadium,2021,5
68,Aggie Memorial Stadium,2022,7
68,Aggie Memorial Stadium,2023,6
33,Alamodome,2005,3
33,Alamodome,2012,4
33,Alamodome,2013,6
33,Alamodome,2014,7
33,Alamodome,2015,7
33,Alamodome,2016,8
33,Alamodome,2017,7
33,Alamodome,2018,7
33,Alamodome,2019,7
33,Alamodome,2020,7
33,Alamodome,2021,8
33,Alamodome,2022,8
33,Alamodome,2023,13
33,Alamodome,2024,10
69,Alaska Airlines Field at Husky Stadium,2011,7
69,Alaska Airlines Field at Husky Stadium,2012,6
69,Alaska Airlines Field at Husky Stadium,2013,9
69,Alaska Airlines Field at Husky Stadium,2014,7
69,Alaska Airlines Field at Husky Stadium,2015,7
69,Alaska Airlines Field at Husky Stadium,2016,7
69,Alaska Airlines Field at Husky Stadium,2017,7
69,Alaska Airlines Field at Husky Stadium,2018,6
69,Alaska Airlines Field at Husky Stadium,2019,7
69,Alaska Airlines Field at Husky Stadium,2020,4
69,Alaska Airlines Field at Husky Stadium,2021,7
69,Alaska Airlines Field at Husky Stadium,2022,7
69,Alaska Airlines Field at Husky Stadium,2023,7
70,Albertsons Stadium,2011,7
70,Albertsons Stadium,2012,7
70,Albertsons Stadium,2013,6
70,Albertsons Stadium,2014,8
70,Albertsons Stadium,2015,7
70,Albertsons Stadium,2016,7
70,Albertsons Stadium,2017,8
70,Albertsons Stadium,2018,8
70,Albertsons Stadium,2019,8
70,Albertsons Stadium,2020,4
70,Albertsons Stadium,2021,7
70,Albertsons Stadium,2022,8
70,Albertsons Stadium,2023,7
252,Alerus Center,2022,5
252,Alerus Center,2023,7
291,Alfond Stadium,2022,5
291,Alfond Stadium,2023,5
57,Allegiant Stadium,2020,11
57,Allegiant Stadium,2021,22
57,Allegiant Stadium,2022,20
57,Allegiant Stadium,2023,20
71,Allen E. Paulson Stadium,2014,5
71,Allen E. Paulson Stadium,2015,6
71,Allen E. Paulson Stadium,2016,5
71,Allen E. Paulson Stadium,2017,4
71,Allen E. Paulson Stadium,2018,6
71,Allen E. Paulson Stadium,2019,6
71,Allen E. Paulson Stadium,2020,7
71,Allen E. Paulson Stadium,2021,6
71,Allen E. Paulson Stadium,2022,6
71,Allen E. Paulson Stadium,2023,6
248,Allianz Arena,2022,1
72,Aloha Stadium,2011,7
72,Aloha Stadium,2012,6
72,Aloha Stadium,2013,6
72,Aloha Stadium,2014,7
66,Aloha Stadium,2014,1
66,Aloha Stadium,2015,1
72,Aloha Stadium,2015,7
66,Aloha Stadium,2016,1
72,Aloha Stadium,2016,6
72,Aloha Stadium,2017,6
66,Aloha Stadium,2017,1
72,Aloha Stadium,2018,8
66,Aloha Stadium,2019,1
72,Aloha Stadium,2019,9
72,Aloha Stadium,2020,5
66,Aloha Stadium,2020,1
334,Alumni Memorial Field,2022,6
334,Alumni Memorial Field,2023,5
73,Alumni Stadium (Boston College),2011,6
73,Alumni Stadium (Boston College),2012,6
73,Alumni Stadium (Boston College),2013,6
73,Alumni Stadium (Boston College),2014,7
73,Alumni Stadium (Boston College),2015,7
73,Alumni Stadium (Boston College),2016,6
73,Alumni Stadium (Boston College),2017,6
73,Alumni Stadium (Boston College),2018,7
73,Alumni Stadium (Boston College),2019,6
73,Alumni Stadium (Boston College),2020,6
73,Alumni Stadium (Boston College),2021,6
73,Alumni Stadium (Boston College),2022,6
73,Alumni Stadium (Boston College),2023,7
269,Alumni Stadium (Delaware State),2022,7
269,Alumni Stadium (Delaware State),2023,5
74,Amon G. Carter Stadium,2011,8
74,Amon G. Carter Stadium,2012,6
74,Amon G. Carter Stadium,2013,6
74,Amon G. Carter Stadium,2014,8
74,Amon G. Carter Stadium,2015,7
74,Amon G. Carter Stadium,2016,8
74,Amon G. Carter Stadium,2017,7
74,Amon G. Carter Stadium,2018,7
