"player_id","player_fullname","injury_location","injury_category","injury_timing","injury_type","effective_start_of_injury","effective_end_of_injury","season"
11779,Gareon Conley,Ankle,Skeletal,Unknown,Unknown,2020-01-23,2021-02-14,2019
30762,Will Dissly,Achillies,Soft Tissue,Game,Tear,2019-10-12,2020-10-11,2019
59848,Navaughn Donaldson,Knee,Unknown,Game,Unknown,2019-11-14,2020-12-03,2019
55678,Justin Broiles,Unknown Lower Body,Unknown,Unknown,Unknown,2020-11-26,2021-02-01,2020
56206,Noah Daniels,Unknown Leg,Unknown,Unknown,Unknown,2020-10-26,2021-02-01,2020
58097,Levi Draper,Labrum,Soft Tissue,Unknown,Tear,2020-10-14,2021-02-01,2020
61643,Shi Smith,Brain,Nervous System,Unknown,Concussion,2020-11-24,2020-12-17,2020
2282,Frank Gore,Lungs,Soft Tissue,Game,Trauma,2020-12-27,2021-02-14,2020
4924,Matthew Stafford,Ankle,Soft Tissue,Game,Sprain,2020-12-30,2021-02-14,2020
50440,Natrell Jamerson,Hip,Unknown,Game,Unknown,2020-12-30,2021-01-31,2020
46048,Isaiah Wynn,Calf,Soft Tissue,Practice,Unknown,2020-09-25,2020-10-24,2020
39517,Drew Lock,Shoulder,Unknown,Practice,Unknown,2020-09-25,2020-10-24,2020
6013,Anthony Levine,Abdomen,Unknown,Unknown,Unknown,2020-09-24,2020-11-04,2020
34222,Kris Boyd,Hamstring,Soft Tissue,Unknown,Unknown,2020-09-24,2020-11-04,2020
11353,Antonio Hamilton Sr.,Groin,Soft Tissue,Unknown,Unknown,2020-09-24,2020-09-28,2020
9468,Mario Edwards Jr.,Buttock,Unknown,Unknown,Unknown,2020-09-24,2020-09-28,2020
51487,Dorian O'Daniel,Knee,Unknown,Practice,Unknown,2020-09-25,2020-09-28,2020
51487,Dorian O'Daniel,Ankle,Unknown,Practice,Unknown,2020-09-25,2020-09-28,2020
8639,Sammy Watkins,Neck,Unknown,Unknown,Unknown,2020-09-24,2020-09-28,2020
8639,Sammy Watkins,Brain,Nervous System,Unknown,Concussion,2020-09-24,2020-09-28,2020
13014,Darrel Williams,Ankle,Unknown,Unknown,Unknown,2020-09-24,2020-09-28,2020
7857,Keenan Allen,Unknown Illness,Infectious,Unknown,Unknown,2020-11-07,2020-11-11,2020
10641,DeForest Buckner,Back,Unknown,Practice,Unknown,2020-09-25,2020-09-28,2020
6168,Ryan Kerrigan,Toe,Unknown,Game,Unknown,2020-09-23,2020-09-28,2020
34247,Darnell Savage,Groin,Soft Tissue,Practice,Unknown,2020-09-25,2020-09-28,2020
90621,Kyle Dugger,Foot,Unknown,Unknown,Unknown,2020-09-24,2020-09-28,2020
45865,Justice Hill,Hamstring,Soft Tissue,Unknown,Unknown,2020-09-24,2020-09-28,2020
3647,Greg Olsen,Heel,Unknown,Unknown,Unknown,2020-09-23,2020-09-25,2020
8685,Jeremiah Attaochu,Quadricep,Soft Tissue,Unknown,Unknown,2020-09-25,2020-11-11,2020
61103,Jerry Jeudy,Ribs,Unknown,Game,Unknown,2020-09-23,2020-10-08,2020
10728,Nick Vannett,Foot,Unknown,Game,Unknown,2020-11-04,2020-11-11,2020
7023,Dre Kirkpatrick,Neck,Unknown,Practice,Unknown,2020-09-25,2020-10-08,2020
8701,Morgan Moses,Hip,Unknown,Game,Unknown,2020-09-23,2020-10-08,2020
49558,Denzel Ward,Groin,Soft Tissue,Unknown,Unknown,2020-09-24,2020-10-08,2020
49408,Donovan Wilson,Groin,Soft Tissue,Unknown,Unknown,2020-12-04,2020-12-23,2020
10754,David Onyemata,Calf,Soft Tissue,Practice,Unknown,2020-09-25,2020-10-09,2020
12666,Sione Takitaki,Shoulder,Unknown,Game,Unknown,2020-09-23,2020-10-15,2020
94365,Stephen Carlson,Shoulder,Unknown,Game,Unknown,2020-09-23,2020-10-15,2020
6172,Adrian Clayborn,Hip,Unknown,Game,Unknown,2020-09-23,2020-10-15,2020
5531,Russell Okung,Groin,Soft Tissue,Unknown,Unknown,2020-09-24,2020-10-15,2020
7292,L.J. Fort,Finger,Unknown,Unknown,Unknown,2020-11-07,2020-11-23,2020
41973,Ezra Cleveland,Ankle,Soft Tissue,Game,Sprain,2020-11-18,2020-12-16,2020
10726,Brandon Williams,Groin,Soft Tissue,Practice,Unknown,2020-09-25,2020-11-07,2020
48341,Steven Sims,Toe,Unknown,Game,Unknown,2020-09-23,2020-11-07,2020
44216,Quinnen Williams,Hamstring,Soft Tissue,Practice,Unknown,2020-11-05,2020-11-25,2020
48931,Hercules Mata'afa,Ankle,Unknown,Game,Unknown,2020-11-18,2020-11-25,2020
66957,Vyncint Smith,Groin,Soft Tissue,Practice,Unknown,2020-11-05,2020-11-25,2020
44519,Trysten Hill,Knee - ACL,Soft Tissue,Game,Tear,2020-10-11,2021-02-14,2020
44485,Kyzir White,Hamstring,Soft Tissue,Game,Unknown,2020-12-20,2021-02-14,2020
44216,Quinnen Williams,Brain,Unknown,Game,Unknown,2020-12-23,2021-02-14,2020
44216,Quinnen Williams,Neck,Unknown,Game,Unknown,2020-12-23,2021-02-14,2020
8200,Josh Hill,Hand,Unknown,Game,Unknown,2020-12-30,2021-01-06,2020
12666,Sione Takitaki,Ankle,Unknown,Game,Unknown,2020-12-30,2021-01-06,2020
10754,David Onyemata,Knee,Unknown,Game,Unknown,2020-12-30,2021-01-06,2020
43034,Charvarius Ward,Hamstring,Soft Tissue,Game,Unknown,2020-12-30,2021-01-13,2020
9316,Mike Pennel,Back,Unknown,Game,Unknown,2020-12-30,2021-01-13,2020
10017,Kendall Lamm,Unknown Illness,Infectious,Unknown,Unknown,2020-12-30,2021-01-13,2020
3647,Greg Olsen,Foot,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
51099,Ben Niemann,Hamstring,Soft Tissue,Game,Unknown,2020-12-30,2021-01-20,2020
46013,Garrett Bradbury,Shoulder,Unknown,Game,Unknown,2020-11-18,2020-11-25,2020
5535,Tyson Alualu,Ankle,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
5548,Bryan Bulaga,Foot,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
5552,Devin McCourty,Shoulder,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
6796,Dan Bailey,Back,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
7064,Casey Hayward Jr.,Hamstring,Soft Tissue,Game,Unknown,2020-12-30,2021-02-14,2020
7330,Cole Beasley,Fibula,Skeletal,Game,Fracture,2020-12-30,2021-02-14,2020
5410,Demar Dotson,Hand,Unknown,Game,Unknown,2020-11-04,2021-02-14,2020
9436,Dante Fowler Jr.,Hamstring,Soft Tissue,Game,Unknown,2020-11-04,2020-12-16,2020
48229,Terry McLaurin,Ankle,Unknown,Unknown,Unknown,2020-12-04,2020-12-16,2020
9527,Ty Montgomery,Hamstring,Soft Tissue,Practice,Unknown,2020-09-25,2020-12-16,2020
9454,Cedric Ogbuehi,Calf,Soft Tissue,Unknown,Unknown,2020-12-04,2020-12-24,2020
49970,Derrick Nnadi,Knee,Unknown,Practice,Unknown,2020-12-31,2021-01-20,2020
7654,Justin Bethel,Neck,Unknown,Practice,Unknown,2020-12-31,2021-02-14,2020
49397,M.J. Stewart,Hamstring,Soft Tissue,Unknown,Unknown,2020-09-09,2020-09-12,2020
47743,Tyler Davis,Knee,Unknown,Unknown,Unknown,2020-09-09,2020-09-24,2020
